marker_name,standardized_name,display_name,abbreviation,standard_unit,standard_range_min,standard_range_max,aggressive_target_min,aggressive_target_max,rationale_for_aggressive,clinical_significance,longevity_context,key_citations,measurement_method,loinc_code,loinc_name
anti_tpo,anti_tpo,Anti-TPO Antibodies,Anti-TPO,kU/L,,34,,15,Minimizes autoimmune thyroid destruction and subclinical inflammation burden on aging organs.,Elevated anti-TPO antibodies predict hypothyroidism progression or inflammation burden.,Lower antibody levels correlate with reduced systemic inflammation and preserved thyroid reserve.,"[""Effraimidis et al. (2012) Eur J Endocrinol""]",,,
ApoB/ApoA-I Ratio,apob_apoa1_ratio,ApoB/ApoA1 Ratio,ApoB/ApoA1,ratio,,1.0,,0.6,,,,,,,
apob_apoa_i_ratio,apob_apoa_i_ratio,ApoB/ApoA-I Ratio,ApoB/ApoA-I,ratio,,1.0,,0.6,Lower ratios indicate better balance between atherogenic and anti-atherogenic lipoproteins.,Strong predictor of cardiovascular risk across all populations, including low-LDL individuals.,Optimized ratio reflects improved lipid metabolism and reduced inflammatory burden in aging populations.,"[""Yusuf et al. (2004) Lancet""]",,,
Apolipoprotein A-I,apolipoprotein_a1,Apolipoprotein A1,ApoA1,mg/dL,95,186,140,,,,,,,,
apolipoprotein_a_i,apolipoprotein_a_i,Apolipoprotein A-I,ApoA-I,mg/dL,95,186,140,,Higher ApoA-I levels indicate better HDL functionality and reduced cardiovascular risk.,Reflects HDL particle functionality in reverse cholesterol transport pathways.,Elevated ApoA-I is linked to longevity through improved lipid metabolism and reduced inflammation.,"[""Franceschini et al. (2007) Atherosclerosis""]",,,
apolipoprotein_b,apolipoprotein_b,Apolipoprotein B,ApoB,mg/dL,49,173,,60,Lower ApoB reflects reduced atherogenic lipoprotein burden, independent of LDL-C levels.,Strong predictor of cardiovascular events; better marker than LDL-C alone for residual risk.,Lower ApoB is associated with reduced all-cause mortality in aging populations.,"[""Sniderman et al. (2019) Lancet""]",,,
aso,aso,Antistreptolysin O,ASO,IU/mL,,200,,150,Lower ASO reduces post-streptococcal sequelae (rheumatic fever, glomerulonephritis).,Elevated in recent streptococcal infections.,Reduced ASO titers correlate with lower autoimmune complication risks.,"[""Parks et al. (2012) Pediatr Infect Dis J""]",,,
ast,ast,Aspartate Aminotransferase,AST,U/L,10,40,,30,Lower AST reflects reduced systemic and liver-specific inflammation.,Elevated AST suggests liver injury, muscle damage, or systemic inflammation.,Optimized AST levels are associated with better metabolic health and reduced aging-related risks.,"[""Lee et al. (2013) J Clin Endocrinol Metab""]",,,
Awake Time,awake_time,Awake Time,Awake,hours,,,,,,,,,,,
bd_tau,bd_tau,Brain-Derived Tau,BD-tau,pg/mL,,1.0,,0.8,Specific to Alzheimer's neurodegeneration; avoids confounding from peripheral tau.,Distinguishes AD from other dementias; correlates with CSF tau and amyloid PET.,Improves diagnostic accuracy for early-stage AD.,"[""Gonzalez-Ortiz et al. (2022) Brain""]",,,
beta_hcg,beta_hcg,β-HCG,β-HCG,mIU/mL,,5,,2,Lower thresholds detect early germ cell tumors and choriocarcinoma.,Elevated in testicular cancer, gestational trophoblastic disease, and germ cell tumors.,Critical for monitoring treatment response in testicular cancer.,"[""Gilligan et al. (2019) J Clin Oncol""]",,,
Body Temperature,body_temperature,Body Temperature,Temp,°C,,,,,,,,,,,
ca_125,ca_125,CA 125,CA 125,U/mL,,35,,20,Lower thresholds improve ovarian cancer detection in high-risk women.,Elevated in ovarian cancer (85%), endometriosis, and pelvic inflammation.,Optimized CA-125 with transvaginal ultrasound reduces ovarian cancer mortality.,"[""Jacobs et al. (2016) Lancet Oncol""]",,,
ca_15_3,ca_15_3,CA 15-3,CA 15-3,U/mL,,30,,25,Early detection of breast cancer recurrence.,Elevated in metastatic breast cancer (70-80%) and lung/ovarian cancers.,Serial monitoring improves metastatic breast cancer management.,"[""Harris et al. (2018) Breast Cancer Res Treat""]",,,
ca_19_9,ca_19_9,CA 19-9,CA 19-9,U/mL,,37,,20,Early detection of pancreaticobiliary cancers.,Elevated in pancreatic (80%), gastric, and cholangiocarcinoma.,Improves early-stage pancreatic cancer detection when combined with imaging.,"[""Ballehaninna et al. (2012) Biomark Insights""]",,,
calcium_adjusted,calcium_adjusted,Calcium (adjusted),Ca,mmol/L,2.20,2.60,2.30,2.50,Balanced calcium ensures optimal bone health and vascular calcification prevention.,Elevated calcium may indicate hyperparathyroidism or malignancy; low levels suggest deficiency.,Optimized calcium supports bone density preservation and reduces vascular calcification in aging adults.,"[""Reid et al. (2004) Lancet""]",,,
Calories Burned,calories_burned,Calories Burned,Cal,kcal,,,,,,,,,,,
cea,cea,Carcinoembryonic Antigen,CEA,ng/mL,,5,,3,Lower thresholds detect early recurrence of colorectal/breast cancers.,Elevated in colorectal, pancreatic, and lung cancers.,Serial monitoring improves survival in post-resection colorectal cancer.,"[""Duffy et al. (2020) Clin Cancer Res""]",,,
ck,ck,Creatine Kinase,CK,U/L,40,320,,100,Lower CK reduces rhabdomyolysis and statin-induced myopathy risks.,Elevated in muscle trauma, inflammatory myopathies, and myocardial injury.,Optimized CK correlates with reduced muscle catabolism and improved physical resilience.,"[""Cervellin et al. (2017) Clin Chem Lab Med""]",,,
complement_c3,complement_c3,Complement C3,C3,g/L,0.9,1.7,1.0,1.3,Lower C3 reduces chronic inflammation and metabolic syndrome risks.,Elevated in autoimmune diseases (SLE), infections, and metabolic syndrome.,Optimized C3 improves vascular health and reduces autoimmune flare frequency.,"[""Norata et al. (2012) Curr Opin Lipidol""]",,,
complement_c4,complement_c4,Complement C4,C4,g/L,0.18,0.49,,0.45,Lower C4 reduces immune complex deposition risks.,Elevated in autoimmune diseases (SLE, RA); low in hereditary angioedema.,Reduced C4 correlates with lower systemic lupus nephritis risk.,"[""Walport et al. (2001) N Engl J Med""]",,,
copper,copper,Copper,Cu,µmol/L,11,24,13,18,Balanced copper is essential for enzymatic reactions while avoiding pro-oxidant effects at higher levels.,Low copper is associated with anemia and neutropenia; high levels are linked to oxidative stress and liver damage.,Optimized copper supports antioxidant defense systems and energy production critical for longevity.,"[""Turnlund et al. (2004) Am J Clin Nutr""]",,,
cortisol_am,cortisol_am,Cortisol AM,,nmol/L,138,635,200,400,Balances stress response without promoting catabolic state or insulin resistance burden.,Elevated cortisol drives muscle wasting; low cortisol indicates adrenal insufficiency risk.,Optimized cortisol rhythm reduces allostatic load and supports metabolic health in aging adults.,"[""Champaneri et al. (2013) Psychoneuroendocrinology""]",,,
c_peptide,c_peptide,C-Peptide,,ng/mL,1.10,4.40,0.8,2.0,Reflects pancreatic β-cell function; lower levels indicate reduced insulin secretion burden.,Marker of endogenous insulin production; low levels suggest β-cell rest or dysfunction.,Optimized C-peptide reflects healthy β-cell function and reduced metabolic stress in aging populations.,"[""Polonsky et al. (1986) N Engl J Med""]",,,
creatinine,creatinine,Creatinine,Cr,µmol/L,64,104,70,90,Lower creatinine reflects optimal renal filtration without muscle mass loss.,Marker of kidney function; elevated levels suggest impaired glomerular filtration rate (GFR).,Optimized creatinine levels reduce risks of chronic kidney disease and cardiovascular complications.,"[""Levey et al. (2009) Ann Intern Med""]",,,
cystatin_c,cystatin_c,Cystatin C,,mg/L,0.57,1.05,,0.85,Lower cystatin C indicates better kidney filtration and reduced systemic inflammation.,Alternative marker of kidney function; less influenced by muscle mass compared to creatinine.,Optimized cystatin C reduces risks of cardiovascular events and mortality in aging populations.,"[""Shlipak et al. (2006) N Engl J Med""]",,,
Daily Strain,daily_strain,Daily Strain,Strain,score,,,,,,,,,,,
Deep Sleep,deep_sleep,Deep Sleep,Deep,hours,,,,,,,,,,,
dhea_s,dhea_s,DHEA-S,DHEA-S,µg/dL,71,375,150,300,Maintains adrenal androgen production for neuroprotection and immune function in aging males.,Low DHEA-S accelerates immunosenescence; high levels may increase prostate cancer risk.,Optimized DHEA-S supports stress resilience, immune balance, and cognitive health in aging populations.,"[""Rutkowski et al. (2014) Ageing Res Rev""]",,,
Distance,distance,Distance,Dist,km,,,,,,,,,,,
egfr,egfr,Estimated Glomerular Filtration Rate,eGFR,mL/min/1.73m²,60,,90,,Higher eGFR reflects better kidney filtration capacity and reduced risk of chronic kidney disease.,Assesses kidney function; lower eGFR indicates progressive renal impairment.,High eGFR is associated with preserved renal function, critical for longevity and metabolic health.,"[""Matsushita et al. (2010) JAMA""]",,,
Energy Expenditure,energy_expenditure,Energy Expenditure,Cal Burned,kcal,,,,,,,,,,,
Eosinophils,eosinophils,Eosinophils,Eos,10^9/L,0.04,0.40,,0.30,Limits allergic/inflammatory potential,Screens for parasites/allergies,Chronic elevation associated with tissue fibrosis,"[""Rosenberg et al. (2013) J Allergy Clin Immunol""]",,,
Erythrocyte Sedimentation Rate (ESR),esr,Erythrocyte Sedimentation Rate,ESR,mm/hr,0,20,0,10,,,,,,,
Estradiol E2 Male Range,estradiol_e2_male,Estradiol (Male),E2,pmol/L,,150,,,,,,,,,
fai,fai,Free Androgen Index,FAI,%,35.0,92.6,40,70,Ensures adequate androgen activity without prostate/cardiovascular risks.,Reflects bioavailable testosterone; elevated FAI may increase prostate cancer risk.,Balanced FAI supports muscle maintenance while reducing age-related disease risks.,"[""Mohr et al. (2005) J Clin Endocrinol Metab""]",,,
fasting_glucose,fasting_glucose,Fasting Glucose,FG,mmol/L,4.00,6.00,4.50,5.50,Low-normal glucose levels reduce glycation and oxidative stress but avoid hypoglycemia risks.,Reflects short-term glycemic control; low levels may indicate over-treatment or fasting effects.,Optimized glucose reduces risks of diabetes, cardiovascular disease, and neurodegeneration.,"[""Gerstein et al. (2014) Lancet Diabetes Endocrinol""]",,,
ferritin,ferritin,Ferritin,,µg/L,20,300,50,150,Lower ferritin minimizes oxidative stress associated with iron overload while preventing anemia risks.,Elevated ferritin reflects inflammation or overload; low levels suggest iron deficiency anemia.,Optimized ferritin reduces risks of metabolic syndrome and chronic diseases in aging populations.,"[""Ellervik et al. (2014) PLoS One""]",,,
Fibrinogen,fibrinogen,Fibrinogen,Fibrinogen,g/L,2.0,4.0,2.0,3.0,,,,,,,
folic_acid,folic_acid,Folic Acid,Folate,µg/L,3.0,26.8,15,20,Optimal folate levels reduce homocysteine and support DNA synthesis without promoting excess cell proliferation.,Elevated folate may mask B12 deficiency; low levels are linked to anemia and neural tube defects.,Optimized folate supports methylation processes critical for cellular repair and longevity.,"[""Bailey et al. (2015) Adv Nutr""]",,,
free_psa,free_psa,Free PSA,fPSA,%,25,,30,,Higher free PSA percentage reduces likelihood of aggressive prostate cancer.,Low free PSA % correlates with higher cancer risk.,Improved free/total PSA ratio enhances specificity for cancer screening in longevity-focused care.,"[""Catalona et al. (2000) JAMA""]",,,
free_t3,free_t3,Free Triiodothyronine,FT3,pmol/L,3.1,6.8,4.0,5.5,Ensures active thyroid hormone availability without catabolic excess.,Low FT3 correlates with frailty; high FT3 may indicate tissue hypermetabolism.,Optimized FT3 supports muscle protein synthesis and metabolic efficiency in aging populations.,"[""Wiersinga et al. (2014) Eur Thyroid J""]",,,
free_t4,free_t4,Free Thyroxine,FT4,pmol/L,11.9,21.6,15,20,Maintains euthyroid state with optimal metabolic regulation.,Primary thyroid hormone; low FT4 indicates hypothyroidism; high FT4 suggests hyperthyroidism.,Optimized FT4 supports cognitive function, thermogenesis, and cardiovascular health in aging adults.,"[""Gussekloo et al. (2004) JAMA""]",,,
Free Triiodothyronine (FT3),ft3,Free Triiodothyronine,FT3,pmol/L,3.1,6.8,4.0,5.5,,,,,,,
Free Thyroxine (FT4),ft4,Free Thyroxine,FT4,pmol/L,11.9,21.6,15,20,,,,,,,
galectin_3,galectin_3,Galectin-3,Gal-3,ng/mL,,17.8,,12,Pro-fibrotic mediator of cardiac remodeling.,Marker of heart failure severity and mortality risk.,Reduced galectin-3 slows myocardial fibrosis and preserves cardiac function.,"[""de Boer et al. (2019) Eur Heart J""]",,,
gfap,gfap,Glial Fibrillary Acidic Protein,GFAP,pg/mL,,150,,100,Lower GFAP reflects reduced astrocyte activation and neuroinflammation.,Elevated in AD, frontotemporal dementia, and traumatic brain injury.,Reduced GFAP correlates with slower disease progression and preserved cognitive function.,"[""Benedet et al. (2021) Alzheimers Dement""]",,,
ggt,ggt,Gamma-Glutamyltransferase,GGT,U/L,10,71,,40,Lower GGT reflects reduced oxidative stress and improved liver detoxification capacity.,Elevated GGT is linked to alcohol use, fatty liver disease, and cardiovascular risk.,Optimized GGT reduces risks of metabolic syndrome, cardiovascular disease, and aging-related oxidative stress.,"[""Kunutsor et al. (2014) Ann Epidemiol""]",,,
hba1c,hba1c,Hemoglobin A1c,HbA1c,mmol/mol,,42,,40,Lower HbA1c reduces risks of microvascular damage and systemic inflammation.,Reflects long-term glycemic control; elevated levels indicate poor glucose regulation.,Lower HbA1c is associated with reduced mortality and improved metabolic health in aging populations.,"[""Selvin et al. (2010) Lancet""]",,,
hdl_cholesterol,hdl_cholesterol,HDL Cholesterol,HDL-C,mmol/L,1.55,,1.8,,Higher HDL levels improve reverse cholesterol transport and reduce inflammation.,Low HDL is associated with increased cardiovascular risk, despite low LDL levels.,Elevated HDL correlates with improved metabolic health and longevity outcomes in aging populations.,"[""Barter et al. (2007) N Engl J Med""]",,,
Hematocrit,hematocrit,Hematocrit,Hct,%,40,54,42,47,Balances oxygen delivery with blood flow dynamics,Indicates hemoconcentration; screens for myeloproliferative disorders,Elevated levels increase thrombosis risk - key CVD mortality factor,"[""Goodnough et al. (2016) Lancet Haematol""]",,,
Hemoglobin,hemoglobin,Hemoglobin,Hb,g/L,130,180,140,155,Optimizes oxygen transport while minimizing hyperviscosity risks,Assesses anemia/polycythemia; reflects bone marrow function,Maintains tissue oxygenation critical for organ resilience,"[""Culleton et al. (2006) JAMA"""," ""Andro et al. (2013) Aging Clin Exp Res""]",,,
homocysteine,homocysteine,Homocysteine,Hcy,µmol/L,,15,,8,Elevated levels increase oxidative stress, endothelial dysfunction, and CVD risk.,Strong predictor of atherosclerosis, stroke, and dementia.,Optimized levels reduce vascular aging and neurocognitive decline.,"[""Smith et al. (2021) J Intern Med"""," ""Refsum et al. (2004) Ann Rev Med""]",,,
HRV RMSSD,hrv_rmssd,Heart Rate Variability,HRV RMSSD,ms,,,,,,,,,,,
hscrp,hscrp,High Sensitivity C-Reactive Protein,hsCRP,mg/L,,3,,1,Low hsCRP reflects reduced systemic inflammation, a key driver of atherosclerosis and aging diseases.,Marker of systemic inflammation; elevated levels predict cardiovascular events and mortality.,Reduced hsCRP is associated with improved longevity through lower chronic inflammation burden.,"[""Ridker et al. (2005) Circulation""]",,,
iga,iga,IgA,IgA,g/L,0.9,4.5,1.5,3.5,Balanced IgA reduces mucosal inflammation and autoimmunity.,Elevated in cirrhosis, IgA nephropathy; low in celiac disease.,Optimized IgA supports gut barrier integrity and reduces age-related mucosal immunity decline.,"[""Woof et al. (2015) Mucosal Immunol""]",,,
igf_1,igf_1,IGF-1,IGF-1,ng/mL,75,216,100,150,Maintains anabolic signaling while avoiding pro-aging effects of excessive growth hormone activity.,Low IGF-1 correlates with frailty; high IGF-1 increases cancer risk due to mitogenic effects.,Balanced IGF-1 supports tissue repair while minimizing oncogenic risks in aging populations.,"[""Milman et al. (2016) Aging Cell""]",,,
igg,igg,IgG,IgG,g/L,6.0,16.0,7.0,14.0,Lower IgG reduces chronic antigenic stimulation and autoimmunity.,Elevated in chronic infections, autoimmune diseases; low in immunodeficiency.,Balanced IgG improves infection resistance without promoting autoantibody production.,"[""Schroeder et al. (2010) J Clin Invest""]",,,
igm,igm,IgM,IgM,g/L,0.6,2.5,0.7,1.8,Optimized IgM balances acute infection response and autoimmune risks.,Elevated in Waldenström's macroglobulinemia; low in immunodeficiency.,Lower IgM reduces cardiovascular risk in aging populations.,"[""Grönlund et al. (2016) Front Immunol""]",,,
Interleukin-6 (IL-6),il_6,Interleukin-6,IL-6,pg/mL,,2.00,,1.50,,,,,,,
insulin,insulin,Insulin,,pmol/L,17.8,173,10,50,Lower fasting insulin reflects improved insulin sensitivity and reduced metabolic burden.,Elevated insulin indicates insulin resistance, a precursor to Type 2 diabetes and metabolic syndrome.,Optimized insulin levels reduce risks of obesity, metabolic syndrome, and age-related diseases.,"[""Reaven et al. (1988) Diabetes""]",,,
iron,iron,Iron,Fe,µmol/L,5.8,34.5,15,25,Optimal iron reduces oxidative stress while ensuring adequate oxygen transport capacity.,Elevated iron suggests overload or inflammation; low levels indicate deficiency or chronic disease.,Balanced iron reduces risks of anemia and oxidative damage critical for cardiovascular and neurological health.,"[""Ganz et al. (2019) Nat Rev Mol Cell Biol""]",,,
ldl_cholesterol,ldl_cholesterol,LDL Cholesterol,LDL-C,mmol/L,1.40,3.00,,1.8,Aggressive LDL lowering reduces atherosclerosis progression and cardiovascular events.,Primary driver of atherosclerotic plaque formation; key target for lipid-lowering therapy.,Lower LDL is linked to longevity and reduced coronary artery disease in centenarians.,"[""Silverman et al. (2016) JAMA""]",,,
leptin,leptin,Leptin,,µg/L,,5.6,,5,Lower leptin reflects reduced adiposity and improved leptin sensitivity for appetite regulation.,Marker of fat mass and energy balance; elevated leptin suggests leptin resistance or obesity.,Lower leptin levels reduce risks of obesity-related diseases and improve metabolic health in aging populations.,"[""Myers et al. (2010) Cell Metab""]",,,
Light Sleep,light_sleep,Light Sleep,Light,hours,,,,,,,,,,,
lipoprotein_a,lipoprotein_a,Lipoprotein(a),Lp(a),nmol/L,,75,,30,Lp(a) is an independent cardiovascular risk factor; aggressive lowering reduces residual risk.,Elevated Lp(a) contributes to thrombosis, inflammation, and atherosclerosis progression.,Lp(a)-lowering therapies may extend lifespan by reducing residual cardiovascular risk in aging populations.,"[""Tsimikas et al. (2019) J Am Coll Cardiol""]",,,
Lymphocytes,lymphocytes,Lymphocytes,Lymph,10^9/L,1.00,3.50,1.50,2.80,Maintains adaptive immunity without autoimmune risk,Assesses viral responses; screens for lymphoproliferative disorders,Low counts predict immunosenescence; high counts indicate chronic antigenic stimulation,"[""Saule et al. (2006) Cytometry B Clin Cytom""]",,,
magnesium,magnesium,Magnesium,Mg,mmol/L,0.700,1.100,0.850,,Higher magnesium supports vascular health, glucose metabolism, and reduced inflammation burden.,Low magnesium is linked to hypertension, insulin resistance, and cardiovascular disease risk factors.,Optimized magnesium improves endothelial function, reduces arrhythmia risk, and supports healthy aging processes.,"[""Rosique-Esteban et al. (2018) J Nutr""]",,,
MCH,mch,Mean Corpuscular Hemoglobin,MCH,pg,27,32,28,30.5,Prevents hypochromic RBCs while avoiding oxidative stress from excess hemoglobin,Evaluates hemoglobin synthesis efficiency,Correlates with mitochondrial function in erythrocytes,"[""Salvagno et al. (2015) Clin Chem Lab Med""]",,,
MCHC,mchc,Mean Corpuscular Hemoglobin Concentration,MCHC,g/L,320,360,330,350,Ensures optimal hemoglobin concentration without cellular dehydration,Detects spherocytosis; monitors hydration status,Chronic elevated MCHC linked to increased CVD mortality,"[""Mohanty et al. (2014) Blood""]",,,
MCV,mcv,Mean Corpuscular Volume,MCV,fL,76,100,85,95,Optimal RBC size for microcirculation efficiency,Classifies anemia types; reflects B12/folate status,Macrocytosis associated with accelerated epigenetic aging,"[""McNamee et al. (2017) Am J Hematol""]",,,
Monocytes,monocytes,Monocytes,Mono,10^9/L,0.20,0.80,,0.60,Reduces pro-inflammatory cytokine production,Monitors chronic inflammation,Elevated counts correlate with cardiovascular mortality,"[""Rogacev et al. (2012) Eur Heart J""]",,,
MPV,mpv,Mean Platelet Volume,MPV,fL,7.5,11.5,8.0,10.0,Indicates optimal platelet production/function,Screens for myelodysplasia; assesses thrombosis risk,Elevated MPV predicts adverse cardiovascular events,"[""Chu et al. (2010) J Thromb Haemost""]",,,
Neutrophils,neutrophils,Neutrophils,Neut,10^9/L,2.00,7.50,2.50,4.50,Balances infection defense vs inflammatory burden,Acute phase response marker,Chronic elevation linked to atherosclerosis progression,"[""Fest et al. (2019) JAMA Netw Open""]",,,
nfl,nfl,Neurofilament Light Chain,NfL,pg/mL,,10,,7,Lower NfL reflects reduced axonal injury and neurodegeneration.,Elevated in AD, ALS, and other neurodegenerative diseases; correlates with disease progression.,Optimized NfL reduces risks of accelerated cognitive decline and neuronal loss.,"[""Khalil et al. (2018) Nat Rev Neurol""]",,,
NLR Ratio,nlr_ratio,Neutrophil-to-Lymphocyte Ratio,NLR,ratio,,3.0,,2.0,Balances innate/adaptive immunity,Integrative inflammation marker,Strong predictor of cancer mortality (HR 1.68 for NLR >3),"[""Templeton et al. (2014) J Natl Cancer Inst""]",,,
phosphate,phosphate,Phosphate,PO4,mmol/L,0.80,1.50,,1.20,Lower phosphate reduces risks of vascular calcification and chronic kidney disease progression.,Elevated phosphate is associated with cardiovascular disease and secondary hyperparathyroidism in CKD.,Optimized phosphate improves vascular health and reduces risks of CKD-related complications in aging populations.,"[""Kestenbaum et al. (2005) J Am Soc Nephrol""]",,,
Plasma BD-tau,plasma_bd_tau,Plasma Brain-Derived Tau,Plasma BD-tau,pg/mL,,1.0,,0.8,,,,,,,
Platelets,platelets,Platelets,PLT,10^9/L,150,450,200,350,Optimizes hemostasis without thrombotic risk,Assesses bleeding/clotting risks,Elevated counts increase cancer metastasis risk,"[""Bonaccio et al. (2016) Blood""]",,,
potassium,potassium,Potassium,K,mmol/L,3.50,5.30,4.00,4.50,Balanced potassium supports cardiovascular health while avoiding hyperkalemia risks in CKD patients.,Elevated potassium suggests impaired renal excretion; low potassium indicates poor dietary intake or diuretic use.,Optimized potassium improves cardiac function, reduces arrhythmia risk, and supports metabolic health in aging populations.,"[""Weiner et al. (2013) Clin J Am Soc Nephrol""]",,,
prolactin,prolactin,Prolactin,PRL,µg/L,2,18,,12,Lower prolactin reduces risks of hypogonadism, depression, and metabolic dysfunction burden.,Elevated prolactin suppresses GnRH, leading to hypogonadism or infertility issues especially in men.,Optimized prolactin supports reproductive health, mood stability, and metabolic balance critical for longevity-focused care.,"[""Corona et al."," J Sex Med""]",,,
psa_density,psa_density,PSA Density,PSAD,ng/mL/cm³,,0.15,,0.10,Lower density reduces prostate cancer risk independent of PSA level.,"Elevated density suggests malignancy even with ""normal"" total PSA.",Optimized density improves early detection of clinically significant cancers in aging populations.,"[""Nordström et al. (2012) Eur Urol""]",,,
p_tau_181,p_tau_181,Phosphorylated Tau,p-tau181,pg/mL,,2.5,,1.8,Lower p-tau181 indicates reduced tau pathology and Alzheimer's-specific neurodegeneration.,Strongly associated with amyloid-beta plaques and cognitive decline in AD.,Early detection of AD pathology improves intervention efficacy.,"[""Hansson et al. (2022) Nat Med""]",,,
Phosphorylated Tau (p-tau181),p_tau181,Phosphorylated Tau-181,p-tau181,pg/mL,,2.5,,1.8,,,,,,,
pth,pth,Parathyroid Hormone,PTH,pmol/L,1.6,6.9,,6,Lower PTH minimizes bone resorption and reduces risks of osteoporosis and secondary hyperparathyroidism.,Elevated PTH indicates calcium dysregulation, vitamin D deficiency, or parathyroid dysfunction.,Optimized PTH supports bone density preservation and reduces risks of fractures in aging populations.,"[""Silverberg et al. (2009) J Clin Endocrinol Metab""]",,,
RBC Count,rbc_count,Red Blood Cell Count,RBC,10^12/L,4.50,6.50,4.70,5.30,Maintains oxygen capacity without increasing blood viscosity,Screens for bone marrow disorders; assesses erythropoietin function,Low-normal counts predict frailty in elderly,"[""Patel et al. (2009) Blood Rev""]",,,
RDW,rdw,Red Cell Distribution Width,RDW,%,11.5,14.5,,13.0,Lower variation indicates better RBC quality control,Early marker of nutritional deficiencies,Strong predictor of all-cause mortality (HR 1.14 per 1% increase),"[""Patel et al. (2010) Arch Intern Med""]",,,
Readiness Score,readiness_score,Readiness Score,Readiness,score,,,,,,,,,,,
Recovery Score,recovery_score,Recovery Score,Recovery,%,,,,,,,,,,,
REM Sleep,rem_sleep,REM Sleep,REM,hours,,,,,,,,,,,
